"","state_abb","Trump","Clinton"
"1","AL",64.3741435939607,35.6258564060393
"2","AR",64.2851376897705,35.7148623102295
"3","AZ",51.8900234010395,48.1099765989605
"4","CA",33.8717794572701,66.1282205427299
"5","CO",47.3166666273176,52.6833333726824
"6","CT",42.8584524827364,57.1415475172636
"7","DE",44.0013785563188,55.9986214436812
"8","FL",50.6188354727755,49.3811645272245
"9","GA",52.6611725993032,47.3388274006968
"10","HI",32.5586625494645,67.4413374505355
"11","IA",55.0635478451203,44.9364521548797
"12","ID",68.3101766808056,31.6898233191944
"13","IL",40.9799486092885,59.0200513907115
"14","IN",60.0398075966164,39.9601924033836
"15","KS",61.1114703426067,38.8885296573933
"16","KY",65.6706290175099,34.3293709824901
"17","LA",60.1716772378078,39.8283227621922
"18","MA",35.3487213103705,64.6512786896295
"19","MD",35.9837503152306,64.0162496847694
"20","ME",48.5664737705227,51.4335262294773
"21","MI",50.1176682169616,49.8823317830385
"22","MN",49.1681430663847,50.8318569336153
"23","MO",61.7278693294642,38.2721306705358
"24","MS",59.0898473240601,40.9101526759399
"25","MT",61.1096643170244,38.8903356829756
"26","NC",51.9037458037187,48.0962541962813
"27","ND",69.8092428965197,30.1907571034803
"28","NE",63.5476741131776,36.4523258868224
"29","NH",49.8029715576193,50.1970284423807
"30","NJ",42.7158098570987,57.2841901429013
"31","NM",45.3492050656759,54.6507949343241
"32","NV",48.7062905800148,51.2937094199852
"33","NY",38.2275815382263,61.7724184617737
"34","OH",54.2676845771359,45.7323154228641
"35","OK",69.3047372383281,30.6952627616719
"36","OR",43.8441610549456,56.1558389450544
"37","PA",50.3755358074902,49.6244641925098
"38","RI",41.6644084519765,58.3355915480235
"39","SC",57.460256360524,42.539743639476
"40","SD",65.9718580794313,34.0281419205687
"41","TN",63.624343045262,36.375656954738
"42","TX",54.713225577972,45.286774422028
"43","UT",62.3836582084908,37.6163417915092
"44","VA",NA,NA
"45","VT",34.8135736761796,65.1864263238204
"46","WA",41.2130687999352,58.7869312000648
"47","WI",50.4079890380297,49.5920109619703
"48","WV",72.1610522512958,27.8389477487042
"49","WY",75.7053196291538,24.2946803708462
